#IDX 	 Time Lapse 	 LOAD->SEG 	 SEG->EXTRACT 	 EXTRACT->VEC 	 VEC->RANK 	 RANK->OUT 	 Service Time 
185	206.528	1357427.455	1364334.091	1016762.182	1016762.182	27.636	5674356.455
186	207.581	1090091.867	1316869.400	1470129.267	1470129.267	27.267	5586196.600
187	209.131	1441439.647	1241771.471	1758397.824	1758397.824	12.059	5909690.824
188	210.262	1174293.750	1766963.600	1389642.500	1389642.500	51.750	6160956.750
189	211.344	1721981.783	1449788.304	1678843.087	1678843.087	35.739	5902410.174
190	212.581	1395783.667	1768182.800	1017854.000	1017854.000	36.600	5488094.000
191	213.595	1705109.500	1142119.000	1091523.786	1091523.786	221.857	5548012.571
192	214.878	1361362.647	1006262.235	1463624.529	1463624.529	47.000	5245547.941
193	215.947	960791.167	1341697.167	1442873.917	1442873.917	36.750	5643446.000
194	216.979	1246109.136	1494461.455	1604512.864	1604512.864	36.409	5655042.227
195	218.056	1543709.077	1457525.077	1374739.154	1374739.154	39.615	5529481.385
196	219.071	1299660.786	1750463.000	1001627.000	1001627.000	28.571	5578393.071
197	220.173	1764864.947	1022323.789	1332427.526	1332427.526	36.316	5597334.368
198	221.499	1050082.091	1218230.636	1488078.727	1488078.727	35.727	5242906.455
199	222.584	1123694.950	1462388.150	1359797.000	1359797.000	120.200	5695644.050
200	223.690	1461085.200	1356423.250	1694446.700	1694446.700	254.950	5664435.900
201	224.770	1288904.533	1769984.200	1115396.000	1115396.000	36.267	5608334.200
202	225.816	1712561.650	1198416.600	1283518.900	1283518.900	45.700	5524242.600
203	226.842	1175307.391	1290936.696	1243246.043	1243246.043	50.739	4655599.609
204	227.921	1302818.231	1313437.385	876378.769	876378.769	86.538	4728547.846
205	229.013	1327009.200	936502.100	1067035.600	1067035.600	41.900	4516913.800
206	230.213	932278.368	1057237.105	1138661.263	1138661.263	28.947	4339406.737
207	231.255	979825.643	1234237.357	1110375.071	1110375.071	39.429	4944718.214
208	232.372	1257300.867	1040791.600	1371794.533	1371794.533	32.267	5264584.067
209	233.408	1000371.167	1188146.167	1658985.667	1658985.667	46.667	5194071.583
210	234.540	1136051.100	1504685.300	1427613.100	1427613.100	44.500	6079947.300
211	235.723	1345792.350	1535721.550	1573281.250	1573281.250	43.300	6044673.150
212	236.877	1503743.609	1640372.565	1491641.174	1491641.174	33.522	5883882.739
213	237.936	1570454.333	1469567.600	1261338.533	1261338.533	35.133	5451166.267
214	239.005	1573979.810	1240714.952	1075812.143	1075812.143	37.524	5179872.571
215	240.058	1259598.667	996586.533	1303455.933	1303455.933	42.467	4918328.067
216	241.123	1039732.250	1289671.812	1205757.625	1205757.625	35.375	4867309.188
217	242.236	1235249.667	1224136.952	1283142.476	1283142.476	35.571	5090233.143
218	243.368	1215741.571	1295763.952	1287077.524	1287077.524	28.667	4871408.095
219	244.534	1266785.125	1343064.125	1017113.125	1017113.125	332.688	4785398.375
220	245.614	1425819.000	930445.583	1073564.667	1073564.667	8.250	5026412.417
221	246.950	1099436.071	1093125.643	1220828.714	1220828.714	14.571	5183833.500
222	248.149	1043383.375	1136955.625	1659487.188	1659487.188	32.438	5628582.062
223	249.274	1055207.273	1549317.727	1718120.273	1718120.273	42.545	6025819.818
224	250.388	1398267.762	1681679.905	1667302.667	1667302.667	25.571	6457551.333
225	251.400	1668788.217	1703882.739	1576422.000	1576422.000	38.304	5993991.696
226	252.689	1781620.875	1650683.875	1090882.000	1090882.000	59.250	5622645.500
227	253.731	1657451.000	1424739.000	917714.917	917714.917	31.083	6012110.167
228	255.002	1574569.412	1010877.706	1433459.059	1433459.059	49.000	6110738.471
229	256.022	1026688.000	1224916.294	2110438.176	2110438.176	44.294	5752600.471
230	257.044	1058894.529	2158924.706	1389391.412	1389391.412	46.353	6112286.353
231	258.063	2127533.526	1449751.263	1406542.474	1406542.474	46.632	6103401.895
232	259.087	1440668.381	1391340.381	1078465.333	1078465.333	45.714	4880913.286
233	260.100	1358055.077	1120773.692	985698.462	985698.462	40.462	4583605.846
234	261.233	1245160.550	967742.100	973758.200	973758.200	38.700	4668384.800
235	262.335	965819.250	885850.250	1526015.500	1526015.500	297.333	4465183.083
236	263.454	906510.400	1352723.250	1107366.100	1107366.100	52.350	4976029.600
237	264.784	1358416.636	1147395.318	1514383.318	1514383.318	42.273	5141222.727
238	266.268	1046423.267	1575445.867	1074321.600	1074321.600	39.533	5188675.400
239	267.382	1478161.562	1140586.250	1256985.688	1256985.688	51.938	5831980.500
240	268.741	1335520.583	1133189.083	1779604.333	1779604.333	40.417	6209687.167
241	269.753	1072241.444	1591980.389	1866528.944	1866528.944	46.111	6283488.333
242	270.885	1583947.727	1835799.682	1683461.591	1683461.591	44.364	6048370.818
243	272.014	1876338.438	1769932.000	836858.500	836858.500	48.812	5827480.250
244	273.220	1898415.692	1022399.231	1128990.846	1128990.846	50.769	5622837.923
245	274.340	1268096.471	932229.000	1427213.765	1427213.765	38.529	5518681.353
246	275.602	879983.895	1417791.053	1794197.947	1794197.947	31.368	5209553.632
247	276.762	1394808.800	1823749.400	1142069.533	1142069.533	44.933	5870862.267
248	277.845	1709342.412	1315284.353	1258606.176	1258606.176	45.235	5855158.529
249	278.864	1471353.176	1145089.941	1544771.941	1544771.941	44.176	5577838.647
250	280.011	1121578.952	1533877.524	1351591.714	1351591.714	36.857	4954157.762
251	281.088	1564829.235	1360743.706	933564.412	933564.412	42.882	5171126.412
252	282.113	1337059.250	1037925.125	1124087.188	1124087.188	40.062	4939411.312
253	283.152	1097768.143	1056777.190	1391453.952	1391453.952	48.333	4800572.190
254	284.179	1023720.000	1380149.867	1196274.400	1196274.400	54.133	4779050.533
255	285.247	1342921.818	1356940.273	1081096.727	1081096.727	24.909	5285916.000
256	286.268	1334391.833	1150472.333	1174578.917	1174578.917	28.000	5729649.167
257	287.376	1218442.524	1122348.190	1791665.095	1791665.095	45.571	5451664.000
258	288.417	1152225.130	1813317.478	1208300.696	1208300.696	46.870	5151274.435
259	289.433	1874508.133	1157261.800	939064.933	939064.933	42.867	5315889.267
260	290.842	1919239.750	997518.250	828916.250	828916.250	45.000	5523153.250
261	291.882	1121775.250	939971.833	1474693.625	1474693.625	48.250	5456370.167
262	292.890	906340.053	1523371.158	1832199.316	1832199.316	54.474	5349357.737
263	293.899	1396917.889	1964882.444	1017735.611	1017735.611	41.722	5520582.500
264	294.987	2105172.750	964710.938	1058123.000	1058123.000	36.875	5382882.562
265	296.099	1082246.438	1059977.500	1184479.688	1184479.688	47.125	4688003.250
266	297.186	1078781.360	1171706.000	1302703.680	1302703.680	38.240	4771163.880
267	298.275	1175826.333	1295797.800	1243076.467	1243076.467	33.067	4860903.667
268	299.290	1271277.278	1305228.444	974691.500	974691.500	37.111	4858736.778
269	300.320	1333527.900	835973.800	1326671.600	1326671.600	45.900	4929637.500
270	301.485	1160892.429	1168286.571	1182503.643	1182503.643	41.714	5213824.357
271	302.500	1015217.611	1237624.278	1531873.611	1531873.611	42.778	5398376.000
272	303.567	1289153.273	1417634.909	1701335.182	1701335.182	51.727	5722994.727
273	304.855	1360827.704	1606026.667	1356642.222	1356642.222	47.222	5562154.259
274	305.898	1637759.333	1297338.611	1135066.889	1135066.889	44.556	5198073.611
275	307.305	1280745.294	1229492.000	991061.235	991061.235	34.000	4890300.765
276	308.440	1197870.826	1005725.174	1338743.261	1338743.261	37.783	4992962.522
277	309.468	1072637.682	1351583.364	1347631.000	1347631.000	27.818	4709734.909
278	310.527	1262417.333	1486937.750	854060.083	854060.083	40.750	4827547.250
279	311.639	1478461.786	1018123.786	954550.643	954550.643	30.357	5240980.643
280	312.654	1181185.333	883432.333	1555775.444	1555775.444	33.111	5188661.222
281	313.710	867882.389	1464795.556	1573763.111	1573763.111	44.056	5082029.056
282	314.722	1165946.400	1817050.000	1167038.500	1167038.500	44.900	5500813.500
283	315.982	1667799.273	1363302.909	1111553.545	1111553.545	45.545	5972130.909
284	317.051	1639526.125	1136305.625	1419376.250	1419376.250	47.000	6194129.688
285	318.141	1182908.571	1237956.071	1955788.214	1955788.214	52.857	5882137.357
286	319.152	1176887.105	1855623.105	1558893.842	1558893.842	48.105	5931613.000
287	320.335	1827407.647	1593677.588	1315566.000	1315566.000	42.529	6111942.941
288	321.488	1695908.118	1341141.647	1264666.059	1264666.059	340.235	5648012.059
289	322.517	1295244.148	1298557.074	1308312.741	1308312.741	44.741	4977212.667
290	323.708	1304933.812	1275767.688	991916.125	991916.125	51.750	4561450.500
291	324.800	1286430.333	1110904.333	846661.667	846661.667	48.167	4965785.333
292	325.815	1233363.500	892315.250	1245014.375	1245014.375	42.125	5082208.375
293	326.848	943771.538	950635.846	1828839.615	1828839.615	43.462	5229562.615
294	327.907	846854.250	1588228.000	1391603.625	1391603.625	49.125	5486776.250
295	329.430	817405.833	1863824.333	1415911.000	1415911.000	52.000	6507232.667
296	330.447	1519463.650	1517586.850	1695406.850	1695406.850	42.950	7401467.200
297	331.562	1508251.429	1760707.905	2540003.524	2540003.524	45.714	6838099.524
298	332.614	1632516.118	2685822.000	960076.941	960076.941	42.118	6445140.059
299	333.670	2781368.000	1021701.235	1136209.353	1136209.353	27.647	6262035.765
300	334.675	1181836.632	1131420.316	1205196.579	1205196.579	88.789	4746671.737
301	335.697	1094663.417	1228874.667	1192657.500	1192657.500	36.875	4616927.875
302	336.710	1251733.941	1132147.706	1094035.059	1094035.059	29.706	4496310.294
303	337.826	1170029.333	1190815.200	843685.667	843685.667	46.533	4482954.333
304	338.869	1106468.423	920908.038	1218255.231	1218255.231	49.654	4330423.077
305	340.012	618715.250	1173016.250	1327696.250	1327696.250	44.500	4289624.250
306	341.036	999855.933	1248593.867	882339.467	882339.467	32.200	5245741.600
307	342.114	1198613.562	1071696.312	1638692.000	1638692.000	49.688	5452057.250
308	343.122	1237484.769	1118813.308	1830480.692	1830480.692	54.308	5557819.923
